neighbourhood,room_type,price
Adachi Ku,Shared room,5015.0
Adachi Ku,Private room,7000.0
Adachi Ku,Entire home/apt,12915.0
Akiruno Shi,Shared room,6400.0
Akiruno Shi,Private room,15042.5
Akiruno Shi,Entire home/apt,20846.0
Akishima Shi,Entire home/apt,7600.5
Arakawa Ku,Shared room,3684.0
Arakawa Ku,Private room,12295.0
Arakawa Ku,Entire home/apt,14537.0
Arakawa Ku,Hotel room,20786.5
Bunkyo Ku,Hotel room,5424.0
Bunkyo Ku,Entire home/apt,14998.0
Bunkyo Ku,Private room,15922.0
Chiyoda Ku,Shared room,4968.5
Chiyoda Ku,Private room,15723.0
Chiyoda Ku,Entire home/apt,26891.0
Chofu Shi,Private room,5760.5
Chofu Shi,Shared room,9335.0
Chofu Shi,Entire home/apt,14154.0
Chuo Ku,Shared room,12372.0
Chuo Ku,Hotel room,18169.0
Chuo Ku,Private room,21807.5
Chuo Ku,Entire home/apt,26483.0
Edogawa Ku,Private room,8245.0
Edogawa Ku,Entire home/apt,15907.0
Fuchu Shi,Private room,6065.0
Fuchu Shi,Entire home/apt,7496.5
Fussa Shi,Private room,6900.0
Fussa Shi,Entire home/apt,13279.0
Hachioji Shi,Shared room,7682.0
Hachioji Shi,Entire home/apt,9467.0
Hachioji Shi,Private room,10097.0
Hamura Shi,Entire home/apt,7736.0
Higashimurayama Shi,Private room,4151.5
Higashimurayama Shi,Entire home/apt,8100.0
Higashiyamato Shi,Private room,5136.0
Hino Shi,Private room,4500.0
Hino Shi,Entire home/apt,6344.0
Hinohara Mura,Shared room,9601.0
Hinohara Mura,Entire home/apt,48400.0
Inagi Shi,Private room,7258.0
Inagi Shi,Entire home/apt,10715.0
Itabashi Ku,Shared room,7275.0
Itabashi Ku,Private room,7811.5
Itabashi Ku,Entire home/apt,13109.0
Katsushika Ku,Shared room,4372.0
Katsushika Ku,Private room,9989.5
Katsushika Ku,Entire home/apt,16632.0
Kita Ku,Shared room,2472.0
Kita Ku,Private room,9680.0
Kita Ku,Entire home/apt,13628.5
Kiyose Shi,Entire home/apt,8613.0
Kiyose Shi,Shared room,13000.0
Kodaira Shi,Private room,8100.0
Koganei Shi,Private room,12037.0
Koganei Shi,Entire home/apt,20926.0
Kokubunji Shi,Private room,6551.0
Kokubunji Shi,Entire home/apt,10886.0
Komae Shi,Private room,6519.0
Komae Shi,Entire home/apt,17145.0
Koto Ku,Shared room,3051.0
Koto Ku,Private room,11164.5
Koto Ku,Hotel room,14858.5
Koto Ku,Entire home/apt,16019.5
Kunitachi Shi,Private room,7325.0
Kunitachi Shi,Entire home/apt,27143.0
Machida Shi,Shared room,5003.0
Machida Shi,Private room,5368.0
Machida Shi,Entire home/apt,8146.5
Meguro Ku,Private room,11501.0
Meguro Ku,Shared room,11765.0
Meguro Ku,Entire home/apt,24801.0
Minato Ku,Hotel room,4562.0
Minato Ku,Shared room,7075.0
Minato Ku,Private room,21260.5
Minato Ku,Entire home/apt,24789.0
Mitaka Shi,Private room,5143.0
Mitaka Shi,Entire home/apt,11520.0
Musashino Shi,Private room,12350.0
Musashino Shi,Entire home/apt,14823.0
Nakano Ku,Shared room,4900.0
Nakano Ku,Private room,10646.0
Nakano Ku,Entire home/apt,15416.5
Nakano Ku,Hotel room,21579.0
Nerima Ku,Private room,8686.0
Nerima Ku,Entire home/apt,14000.0
Nishitokyo Shi,Private room,5643.0
Nishitokyo Shi,Entire home/apt,16135.0
Okutama Machi,Private room,15200.0
Okutama Machi,Entire home/apt,15543.0
Ome Shi,Shared room,3366.0
Ome Shi,Private room,4600.0
Ome Shi,Entire home/apt,21927.0
Ota Ku,Shared room,6515.0
Ota Ku,Private room,9143.0
Ota Ku,Entire home/apt,11130.5
Setagaya Ku,Shared room,4277.5
Setagaya Ku,Private room,12021.5
Setagaya Ku,Entire home/apt,13112.5
Setagaya Ku,Hotel room,44774.0
Shibuya Ku,Shared room,8000.0
Shibuya Ku,Private room,12398.5
Shibuya Ku,Entire home/apt,22508.0
Shinagawa Ku,Shared room,4565.0
Shinagawa Ku,Private room,13275.0
Shinagawa Ku,Entire home/apt,14369.5
Shinjuku Ku,Shared room,6550.0
Shinjuku Ku,Private room,14686.0
Shinjuku Ku,Entire home/apt,18434.5
Shinjuku Ku,Hotel room,18458.0
Suginami Ku,Shared room,3181.0
Suginami Ku,Private room,7700.0
Suginami Ku,Entire home/apt,13746.0
Suginami Ku,Hotel room,21143.0
Sumida Ku,Shared room,2893.0
Sumida Ku,Hotel room,10750.0
Sumida Ku,Private room,12850.5
Sumida Ku,Entire home/apt,15474.5
Tachikawa Shi,Private room,3875.0
Tachikawa Shi,Entire home/apt,9012.0
Taito Ku,Shared room,2525.0
Taito Ku,Hotel room,11829.0
Taito Ku,Private room,16123.0
Taito Ku,Entire home/apt,21858.0
Tama Shi,Entire home/apt,4508.0
Tama Shi,Private room,10776.0
Toshima Ku,Shared room,1700.0
Toshima Ku,Hotel room,3566.0
Toshima Ku,Private room,11821.5
Toshima Ku,Entire home/apt,15298.0
